Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS Account Management Negative,,,,14-02-2024 20:08:41,14-02-2024 20:11:19,2m - 37.888s,PASSED
,,,,,,,
Test Cases/Negative Case/TCN001 - Login Gagal,,,,14-02-2024 20:08:41,14-02-2024 20:09:21,39.178s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 20:08:42,14-02-2024 20:09:04,22.077s,PASSED
"tap(findTestObject(""Object Repository/swipebar""), 10)",,,,14-02-2024 20:09:04,14-02-2024 20:09:07,2.699s,PASSED
"tap(findTestObject(""Object Repository/loginwidget""), 10)",,,,14-02-2024 20:09:07,14-02-2024 20:09:08,1.321s,PASSED
"setText(findTestObject(""Object Repository/usernamewidget""), username, 10)",,,,14-02-2024 20:09:08,14-02-2024 20:09:12,3.716s,PASSED
"setText(findTestObject(""Object Repository/passwordwidget""), password, 10)",,,,14-02-2024 20:09:12,14-02-2024 20:09:14,2.349s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - LOGIN""), 10)",,,,14-02-2024 20:09:14,14-02-2024 20:09:15,0.926s,PASSED
delay(3),,,,14-02-2024 20:09:15,14-02-2024 20:09:18,3.048s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Incorrect user name or password""), 0)",,,,14-02-2024 20:09:18,14-02-2024 20:09:19,0.388s,PASSED
closeApplication(),,,,14-02-2024 20:09:19,14-02-2024 20:09:21,2.072s,PASSED
,,,,,,,
Test Cases/Negative Case/TCN001 - Login Gagal,,,,14-02-2024 20:09:21,14-02-2024 20:09:56,35.552s,PASSED
"startApplication(""C:\Users\asus\Downloads\Documents\Compressed\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 20:09:21,14-02-2024 20:09:39,18.034s,PASSED
"tap(findTestObject(""Object Repository/swipebar""), 10)",,,,14-02-2024 20:09:39,14-02-2024 20:09:43,3.988s,PASSED
"tap(findTestObject(""Object Repository/loginwidget""), 10)",,,,14-02-2024 20:09:43,14-02-2024 20:09:43,0.480s,PASSED
"setText(findTestObject(""Object Repository/usernamewidget""), username, 10)",,,,14-02-2024 20:09:43,14-02-2024 20:09:47,3.797s,PASSED
"setText(findTestObject(""Object Repository/passwordwidget""), password, 10)",,,,14-02-2024 20:09:47,14-02-2024 20:09:50,2.496s,PASSED
"tap(findTestObject(""Object Repository/android.widget.Button - LOGIN""), 10)",,,,14-02-2024 20:09:50,14-02-2024 20:09:50,0.965s,PASSED
delay(3),,,,14-02-2024 20:09:50,14-02-2024 20:09:53,3.014s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Incorrect user name or password""), 0)",,,,14-02-2024 20:09:53,14-02-2024 20:09:54,0.400s,PASSED
closeApplication(),,,,14-02-2024 20:09:54,14-02-2024 20:09:56,2.335s,PASSED
,,,,,,,
Test Cases/Negative Case/TCN001 - Login Gagal,,,,14-02-2024 20:09:56,14-02-2024 20:10:31,35.055s,PASSED
